2026-01-12 08:18:03 E830 ptp4l[1222108.902]: port 1 (ens2f2): INITIALIZING to LISTENING on INIT_COMPLETE
2026-01-12 08:18:03 E830 ptp4l[1222108.902]: port 0 (/var/run/ptp4lmon/ptp4l.0.socket): INITIALIZING to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED)
2026-01-12 08:18:03 E830 ptp4l[1222108.902]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
2026-01-12 08:18:10 E830 ptp4l[1222114.998]: selected local clock 40a6b7.fffe.821f4e as best master
2026-01-12 08:19:14 E830 ptp4l[1222179.793]: port 1 (ens2f2): new foreign master c0470e.fffe.d06cc1-3
2026-01-12 08:19:15 E830 ptp4l[1222180.043]: selected best master clock c0470e.fffe.d06cc1
2026-01-12 08:19:15 E830 ptp4l[1222180.043]: port 1 (ens2f2): LISTENING to UNCALIBRATED on RS_SLAVE
2026-01-12 08:19:16 E830 ptp4l[1222181.141]: port 1 (ens2f2): minimum delay request interval 2^-4
2026-01-12 08:20:31 E830 ptp4l[1222256.141]: master offset 6621162681 s0 freq +99999997 path delay   -931896
2026-01-12 08:20:33 E830 ptp4l[1222257.961]: master offset 6803846253 s0 freq +100000003 path delay  -1639055
2026-01-12 08:20:34 E830 ptp4l[1222259.781]: master offset 6985604296 s0 freq +99999997 path delay  -1387222
2026-01-12 08:20:36 E830 ptp4l[1222261.601]: master offset 7167301110 s0 freq +100000000 path delay  -1090523
2026-01-12 08:20:38 E830 ptp4l[1222263.421]: master offset 7349334524 s0 freq +100000002 path delay  -1117255
2026-01-12 08:20:40 E830 ptp4l[1222265.241]: master offset 7531887322 s0 freq +100000004 path delay  -1682804
2026-01-12 08:20:42 E830 ptp4l[1222267.061]: master offset 7712790812 s0 freq +99999996 path delay   -580596
2026-01-12 08:20:43 E830 ptp4l[1222268.881]: master offset 7895768473 s0 freq +99999998 path delay  -1536295
2026-01-12 08:20:45 E830 ptp4l[1222270.701]: master offset 8077859613 s0 freq +100000001 path delay  -1618010
2026-01-12 08:20:47 E830 ptp4l[1222272.522]: master offset 8259673047 s0 freq +100000002 path delay  -1395679
2026-01-12 08:20:49 E830 ptp4l[1222274.342]: master offset 8441690660 s0 freq +100000007 path delay  -1373330
2026-01-12 08:20:51 E830 ptp4l[1222276.162]: master offset 8623656589 s0 freq +100000001 path delay  -1348345
2026-01-12 08:20:53 E830 ptp4l[1222277.982]: master offset 8805604460 s0 freq +99999994 path delay  -1318736
2026-01-12 08:20:54 E830 ptp4l[1222279.802]: master offset 8987116461 s0 freq +100000001 path delay   -828952
2026-01-12 08:20:56 E830 ptp4l[1222281.622]: master offset 9169788801 s0 freq +99999997 path delay  -1511525
2026-01-12 08:20:58 E830 ptp4l[1222283.442]: master offset 9351949720 s0 freq +100000001 path delay  -1655300
2026-01-12 08:21:00 E830 ptp4l[1222285.262]: master offset 9534174157 s0 freq +100000005 path delay  -1898612
2026-01-12 08:21:02 E830 ptp4l[1222287.081]: master offset 9715125772 s0 freq +100000002 path delay   -884853
2026-01-12 08:21:03 E830 ptp4l[1222288.902]: master offset 9898326155 s0 freq +99999997 path delay  -2038925
2026-01-12 08:21:05 E830 ptp4l[1222290.722]: master offset 10080355750 s0 freq +100000004 path delay  -2043364
2026-01-12 08:21:07 E830 ptp4l[1222292.542]: master offset 10261799055 s0 freq +100000003 path delay  -1486212
2026-01-12 08:21:09 E830 ptp4l[1222294.362]: master offset 10443431378 s0 freq +99999998 path delay  -1124366
2026-01-12 08:21:11 E830 ptp4l[1222296.182]: master offset 10625743309 s0 freq +99999991 path delay  -1423372
2026-01-12 08:21:13 E830 ptp4l[1222298.002]: master offset 10807594924 s0 freq +100000000 path delay  -1315511
2026-01-12 08:21:14 E830 ptp4l[1222299.822]: master offset 10990495252 s0 freq +100000004 path delay  -2235328
2026-01-12 08:21:16 E830 ptp4l[1222301.642]: master offset 11171498271 s0 freq +100000000 path delay  -1231727
2026-01-12 08:21:18 E830 ptp4l[1222303.462]: master offset 11353478344 s0 freq +100000009 path delay  -1205670
