2026-01-12 08:18:08 E825 ptp4l[1222113.788]: port 1 (ens2f0): INITIALIZING to LISTENING on INIT_COMPLETE
2026-01-12 08:18:08 E825 ptp4l[1222113.788]: port 0 (/var/run/ptp4lmon/ptp4l.0.socket): INITIALIZING to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED)
2026-01-12 08:18:08 E825 ptp4l[1222113.788]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
2026-01-12 08:18:15 E825 ptp4l[1222120.236]: selected local clock 40a6b7.fffe.821f4c as best master
2026-01-12 08:19:14 E825 ptp4l[1222179.823]: port 1 (ens2f0): new foreign master c0470e.fffe.d06cc1-1
2026-01-12 08:19:15 E825 ptp4l[1222180.073]: selected best master clock c0470e.fffe.d06cc1
2026-01-12 08:19:15 E825 ptp4l[1222180.073]: port 1 (ens2f0): LISTENING to UNCALIBRATED on RS_SLAVE
2026-01-12 08:19:15 E825 ptp4l[1222180.268]: port 1 (ens2f0): minimum delay request interval 2^-4
2026-01-12 08:19:17 E825 ptp4l[1222182.135]: master offset 37702696511 s0 freq      +0 path delay        83
2026-01-12 08:19:19 E825 ptp4l[1222184.136]: master offset 37702696511 s0 freq      -0 path delay        82
2026-01-12 08:19:21 E825 ptp4l[1222186.136]: master offset 37702696512 s0 freq      +0 path delay        82
2026-01-12 08:19:23 E825 ptp4l[1222188.137]: master offset 37702696510 s0 freq      -0 path delay        83
2026-01-12 08:19:25 E825 ptp4l[1222190.138]: master offset 37702696512 s0 freq      +1 path delay        83
2026-01-12 08:19:27 E825 ptp4l[1222192.139]: master offset 37702696511 s0 freq      -0 path delay        83
2026-01-12 08:19:29 E825 ptp4l[1222194.140]: master offset 37702696513 s0 freq      +0 path delay        82
2026-01-12 08:19:31 E825 ptp4l[1222196.109]: master offset     331379 s0 freq -19151158995 path delay        84
2026-01-12 08:19:32 E825 ptp4l[1222197.929]: master offset     103049 s0 freq -124992 path delay       915
2026-01-12 08:19:34 E825 ptp4l[1222199.749]: master offset      24623 s0 freq  -43374 path delay       404
2026-01-12 08:19:36 E825 ptp4l[1222201.569]: master offset      -2269 s0 freq  -14869 path delay       226
2026-01-12 08:19:38 E825 ptp4l[1222203.390]: master offset     -11070 s0 freq   -4895 path delay       117
2026-01-12 08:19:40 E825 ptp4l[1222205.210]: master offset     -13661 s0 freq   -1433 path delay        99
2026-01-12 08:19:42 E825 ptp4l[1222207.030]: master offset     -14073 s0 freq    -235 path delay        83
2026-01-12 08:19:43 E825 ptp4l[1222208.850]: master offset     -13759 s0 freq    +171 path delay        80
2026-01-12 08:19:45 E825 ptp4l[1222210.671]: master offset     -13209 s0 freq    +302 path delay        79
2026-01-12 08:19:47 E825 ptp4l[1222212.490]: master offset     -12602 s0 freq    +334 path delay        79
2026-01-12 08:19:49 E825 ptp4l[1222214.311]: master offset     -11991 s0 freq    +333 path delay        75
2026-01-12 08:19:51 E825 ptp4l[1222216.131]: master offset     -11404 s0 freq    +324 path delay        78
2026-01-12 08:19:53 E825 ptp4l[1222217.951]: master offset     -10841 s0 freq    +310 path delay        79
2026-01-12 08:19:54 E825 ptp4l[1222219.770]: master offset     -10306 s0 freq    +293 path delay        78
2026-01-12 08:19:56 E825 ptp4l[1222221.591]: master offset      -9792 s0 freq    +282 path delay        77
2026-01-12 08:19:58 E825 ptp4l[1222223.411]: master offset      -9310 s0 freq    +266 path delay        79
2026-01-12 08:20:00 E825 ptp4l[1222225.231]: master offset      -8846 s0 freq    +254 path delay        78
2026-01-12 08:20:02 E825 ptp4l[1222227.050]: master offset      -8407 s0 freq    +241 path delay        78
2026-01-12 08:20:03 E825 ptp4l[1222228.871]: master offset      -7990 s0 freq    +230 path delay        79
2026-01-12 08:20:05 E825 ptp4l[1222230.690]: master offset      -7593 s0 freq    +218 path delay        79
2026-01-12 08:20:07 E825 ptp4l[1222232.510]: master offset      -7219 s0 freq    +205 path delay        79
2026-01-12 08:20:09 E825 ptp4l[1222234.330]: master offset      -6861 s0 freq    +197 path delay        79
2026-01-12 08:20:11 E825 ptp4l[1222236.150]: master offset      -6519 s0 freq    +188 path delay        79
2026-01-12 08:20:13 E825 ptp4l[1222237.970]: master offset      -6195 s0 freq    +178 path delay        79
2026-01-12 08:20:14 E825 ptp4l[1222239.790]: master offset      -5890 s0 freq    +169 path delay        81
2026-01-12 08:20:16 E825 ptp4l[1222241.611]: master offset      -5598 s0 freq    +160 path delay        80
2026-01-12 08:20:18 E825 ptp4l[1222243.431]: master offset      -5318 s0 freq    +153 path delay        79
2026-01-12 08:20:20 E825 ptp4l[1222245.251]: master offset      -5056 s0 freq    +145 path delay        80
2026-01-12 08:20:22 E825 ptp4l[1222247.071]: master offset      -4807 s0 freq    +137 path delay        81
2026-01-12 08:20:23 E825 ptp4l[1222248.891]: master offset      -4565 s0 freq    +132 path delay        80
2026-01-12 08:20:25 E825 ptp4l[1222250.711]: master offset      -4340 s0 freq    +124 path delay        81
2026-01-12 08:20:27 E825 ptp4l[1222252.531]: master offset      -4125 s0 freq    +118 path delay        81
2026-01-12 08:20:29 E825 ptp4l[1222254.351]: master offset      -3920 s0 freq    +112 path delay        80
2026-01-12 08:20:31 E825 ptp4l[1222256.171]: master offset      -3725 s0 freq    +108 path delay        81
2026-01-12 08:20:33 E825 ptp4l[1222257.991]: master offset      -3539 s0 freq    +102 path delay        80
2026-01-12 08:20:34 E825 ptp4l[1222259.811]: master offset      -3368 s0 freq     +95 path delay        82
2026-01-12 08:20:36 E825 ptp4l[1222261.632]: master offset      -3198 s0 freq     +93 path delay        81
2026-01-12 08:20:38 E825 ptp4l[1222263.452]: master offset      -3038 s0 freq     +88 path delay        81
2026-01-12 08:20:40 E825 ptp4l[1222265.272]: master offset      -2889 s0 freq     +82 path delay        82
2026-01-12 08:20:42 E825 ptp4l[1222267.092]: master offset      -2747 s0 freq     +78 path delay        82
2026-01-12 08:20:43 E825 ptp4l[1222268.912]: master offset      -2608 s0 freq     +76 path delay        81
2026-01-12 08:20:45 E825 ptp4l[1222270.732]: master offset      -2481 s0 freq     +70 path delay        82
